province,year,eff,lntl,ind,urb,rd,open,es_proxy
上海,2015,0.375412263,2.766623969,0.3181 ,0.8853,0.0373,1.1137 ,0.5162830344851849
云南,2015,0.347937966,0.269845248,0.3977 ,0.4293,0.008,0.1120 ,0.6661507384851203
内蒙古,2015,0.446768355,0.348894406,0.5048 ,0.6209,0.0076,0.0445 ,0.918073813939417
北京,2015,0.678355938,1.634327739,0.1974 ,0.8671,0.0601,0.8645 ,0.20364095133995336
吉林,2015,0.454428387,0.390974519,0.4982 ,0.5764,0.0101,0.0836 ,0.8395893969113273
四川,2015,0.268498912,0.426214779,0.4408 ,0.4827,0.0167,0.1061 ,0.5943033290708224
天津,2015,0.607905495,1.828517564,0.4658 ,0.8288,0.0308,0.4304 ,0.7171087015136439
宁夏,2015,0.572439624,0.618370441,0.4738 ,0.5698,0.0088,0.0800 ,0.9027471666597651
安徽,2015,0.223097399,0.830909646,0.4975 ,0.5097,0.0196,0.1354 ,0.772765367027646
山东,2015,0.556291887,0.861147896,0.4680 ,0.5697,0.0227,0.2379 ,0.8314799366990411
山西,2015,0.313948255,0.588181298,0.4069 ,0.5587,0.0104,0.0716 ,0.8955081228702778
广东,2015,0.470678506,1.555070592,0.4479 ,0.6951,0.0247,0.8746 ,0.6098209958075737
广西,2015,0.368350073,0.39571544,0.4593 ,0.4799,0.0063,0.1894 ,0.6652097351884189
新疆,2015,0.339890092,0.492849443,0.3857 ,0.4878,0.0056,0.1314 ,0.772629367425463
江苏,2015,0.527330328,1.458556478,0.4570 ,0.6749,0.0257,0.4846 ,0.7845260894847709
江西,2015,0.218037962,0.361258693,0.5030 ,0.523,0.0104,0.1579 ,0.7257431090525048
河北,2015,0.39295392,0.71947317,0.4827 ,0.5167,0.0118,0.1076 ,0.892129567171888
河南,2015,0.572886672,0.728799133,0.4842 ,0.4702,0.0118,0.1242 ,0.7729094372122018
浙江,2015,0.393334382,1.180630426,0.4596 ,0.6632,0.0236,0.5036 ,0.6665479574233747
海南,2015,0.739040073,1.116504611,0.2365 ,0.5491,0.0046,0.2349 ,0.43768172430634167
湖北,2015,0.272809102,0.519183754,0.4570 ,0.5718,0.019,0.0960 ,0.6841371896669971
湖南,2015,0.239256232,0.377829651,0.4432 ,0.5079,0.0143,0.0631 ,0.711902619631229
甘肃,2015,0.241668854,0.355442476,0.3674 ,0.4424,0.0122,0.0729 ,0.7623208673870577
福建,2015,0.340374303,1.157684171,0.5029 ,0.6322,0.0151,0.4048 ,0.6623808186151621
贵州,2015,0.22307726,0.429477212,0.3949 ,0.4296,0.0059,0.0725 ,0.7639257184931341
辽宁,2015,0.411334435,0.710515129,0.4549 ,0.6805,0.0127,0.2084 ,0.7910112601734102
重庆,2015,0.28259004,0.430616038,0.4498 ,0.6147,0.0157,0.2951 ,0.656693023890575
