province,year,Population,GDP,Capital,Carbon
北京,2022,2184,41610.9,52879.36793,1.373455439
天津,2022,1363,16311.3,55243.82815,54.97914654
河北,2022,7420,42370.4,102523.6543,299.4510344
山西,2022,3481,25642.6,39502.3784,346.2160555
内蒙古,2022,2401,23158.6,51774.89829,712.8875148
辽宁,2022,4197,28975.1,61630.11254,232.3958619
吉林,2022,2348,13070.2,52431.33373,127.9172619
黑龙江,2022,3099,15901,48705.62645,184.8985254
上海,2022,2475,44652.8,63634.75115,64.1893738
江苏,2022,8515,122875.6,170772.722,402.2600562
浙江,2022,6577,77715.4,119669.6154,273.1163147
安徽,2022,6127,45045,69753.39416,263.7364841
福建,2022,4188,53109.9,95272.00659,158.7935928
江西,2022,4528,32074.7,49685.4055,125.545426
山东,2022,10163,87435.1,165339.7861,540.1258449
河南,2022,9872,61345.1,153660.6202,306.9729687
湖北,2022,5844,53734.9,92821.78289,184.8221827
湖南,2022,6604,48670.4,81416.03964,135.0056402
广东,2022,12657,129118.6,200497.4503,315.7222128
广西,2022,5047,26300.9,57246.45968,123.0166074
海南,2022,1027,6818.2,11227.78782,19.6595111
重庆,2022,3213,29129,47634.15332,77.6693005
四川,2022,8374,56749.8,84194.56225,87.74410566
贵州,2022,3856,20164.6,41984.43864,131.5289748
云南,2022,4693,28954.2,72325.3176,95.74842497
陕西,2022,3956,32772.7,62237.27551,224.6851902
甘肃,2022,2492,11201.6,19679.54725,126.4800095
青海,2022,595,3610.1,15337.19042,26.67206014
宁夏,2022,728,5069.6,14509.76046,202.5822098
新疆,2022,2587,17741.3,41723.26299,396.8347469
北京,2021,2189,40269.6,51172.20057,2.002198474
天津,2021,1373,15695,54314.56957,56.9665083
河北,2021,7448,40391.3,97891.7762,297.8555863
山西,2021,3480,22590.2,38165.97564,328.6649297
内蒙古,2021,2400,20514.2,51196.68394,677.8168079
辽宁,2021,4229,27584.1,61482.59838,244.5061191
吉林,2021,2375,13235.5,51585.30403,135.4243234
黑龙江,2021,3125,14879.2,47016.20174,196.4677946
上海,2021,2489,43214.9,60625.22802,66.21476511
江苏,2021,8505,116364.2,163567.7445,397.6176679
浙江,2021,6540,73515.8,111908.9456,261.5130408
安徽,2021,6113,42959.2,64774.86524,247.6159811
福建,2021,4187,48810.4,89360.10601,165.8513139
江西,2021,4517,29619.7,46008.49377,118.5501944
山东,2021,10170,83095.9,160314.5688,557.1211673
河南,2021,9883,58887.4,145494.6946,263.2169297
湖北,2021,5830,50012.9,86758.14936,168.6322712
湖南,2021,6622,46063.1,76144.28543,134.0997556
广东,2021,12684,124369.7,189705.1983,321.168464
广西,2021,5037,24740.9,55481.18743,123.6214205
海南,2021,1020,6475.2,10968.51759,19.56094267
重庆,2021,3212,27894,45296.8317,72.86940447
四川,2021,8372,53850.8,79475.0857,88.10529853
贵州,2021,3852,19586.4,40186.09152,139.2245273
云南,2021,4690,27146.8,67008.19544,98.09231027
陕西,2021,3954,29801,59419.54283,208.9890799
甘肃,2021,2490,10243.3,18850.98862,120.5037392
青海,2021,594,3346.6,15056.53023,25.7694656
