province,year,GDP_constant
北京,2015,23014.59
北京,2016,24579.58212
北京,2017,26226.41412
北京,2018,27957.35745
北京,2019,29662.75626
北京,2020,30018.70933
北京,2021,32570.29963
北京,2022,32798.29173
天津,2015,16538.19
天津,2016,18043.16529
天津,2017,18692.71924
天津,2018,19365.65713
天津,2019,20295.20868
天津,2020,20599.63681
天津,2021,21959.21284
天津,2022,22178.80496
河北,2015,29806.11
河北,2016,31832.92548
河北,2017,33933.89856
河北,2018,36173.53587
河北,2019,38633.33631
河北,2020,40140.03642
河北,2021,42749.13879
河北,2022,44373.60606
山西,2015,12766.49
山西,2016,13340.98205
山西,2017,14288.19178
山西,2018,15245.50063
山西,2019,16190.72166
山西,2020,16773.58764
山西,2021,18299.98412
山西,2022,19105.18342
内蒙古,2015,17831.51
内蒙古,2016,19115.37872
内蒙古,2017,19879.99387
内蒙古,2018,20933.63354
内蒙古,2019,22022.18249
内蒙古,2020,22066.22685
内蒙古,2021,23456.39915
内蒙古,2022,24441.56791
辽宁,2015,28669.02
辽宁,2016,27952.2945
辽宁,2017,29126.29087
辽宁,2018,30786.48945
辽宁,2019,32479.74637
辽宁,2020,32674.62485
辽宁,2021,34569.75309
辽宁,2022,35295.7179
吉林,2015,14063.13
吉林,2016,15033.48597
吉林,2017,15830.26073
吉林,2018,16542.62246
吉林,2019,17038.90113
吉林,2020,17447.83476
吉林,2021,18599.39185
吉林,2022,18246.00341
黑龙江,2015,15083.67
黑龙江,2016,16003.77387
黑龙江,2017,17028.0154
黑龙江,2018,17828.33212
黑龙江,2019,18577.12207
黑龙江,2020,18762.89329
黑龙江,2021,19907.42978
黑龙江,2022,20444.93039
上海,2015,25123.45
上海,2016,26856.96805
上海,2017,28710.09885
上海,2018,30604.96537
上海,2019,32441.26329
上海,2020,32992.76477
上海,2021,35665.17871
上海,2022,35593.84836
江苏,2015,70116.38
江苏,2016,75585.45764
江苏,2017,81027.61059
江苏,2018,86456.4605
江苏,2019,91730.30459
江苏,2020,95124.32586
江苏,2021,103305.0179
江苏,2022,106197.5584
浙江,2015,42886.49
浙江,2016,46145.86324
浙江,2017,49745.24057
浙江,2018,53277.15265
浙江,2019,56899.99903
浙江,2020,58948.399
浙江,2021,63959.01291
浙江,2022,65941.74231
安徽,2015,22005.63
安徽,2016,23920.11981
安徽,2017,25953.32999
安徽,2018,28029.59639
安徽,2019,30131.81612
安徽,2020,31306.95695
安徽,2021,33905.43438
安徽,2022,35092.12458
福建,2015,25979.82
福建,2016,28162.12488
福建,2017,30443.257
福建,2018,32970.04733
福建,2019,35475.77092
福建,2020,36646.47136
福建,2021,39578.18907
福建,2022,41438.36396
江西,2015,16723.78
江西,2016,18228.9202
江西,2017,19833.06518
江西,2018,21558.54185
江西,2019,23283.2252
江西,2020,24167.98775
江西,2021,26294.77068
江西,2022,27530.6249
山东,2015,63002.33
山东,2016,67790.50708
山东,2017,72807.0046
山东,2018,77466.6529
山东,2019,81727.31881
山东,2020,84669.50229
山东,2021,91697.07098
山东,2022,95273.25674
河南,2015,37002.16
河南,2016,39999.33496
河南,2017,43119.28309
河南,2018,46396.3486
河南,2019,49644.093
河南,2020,50289.46621
河南,2021,53457.70258
河南,2022,55114.89136
湖北,2015,29550.19
湖北,2016,31943.75539
湖北,2017,34435.36831
湖北,2018,37121.32704
湖北,2019,39905.42657
湖北,2020,37910.15524
湖北,2021,42800.56526
湖北,2022,44640.98957
湖南,2015,28902.21
湖南,2016,31214.3868
湖南,2017,33711.53774
湖南,2018,36341.03769
湖南,2019,39102.95655
湖南,2020,40588.8689
湖南,2021,43714.21181
湖南,2022,45681.35134
广东,2015,72812.55
广东,2016,78273.49125
广东,2017,84144.00309
广东,2018,89865.7953
广东,2019,95437.47461
广东,2020,97632.53653
广东,2021,105443.1395
广东,2022,107446.5591
广西,2015,16803.12
广西,2016,18029.74776
广西,2017,19309.85985
广西,2018,20622.93032
广西,2019,21860.30614
广西,2020,22669.13747
广西,2021,24369.32278
广西,2022,25076.03314
海南,2015,3702.76
海南,2016,3980.467
海南,2017,4259.09969
海南,2018,4506.127472
海南,2019,4767.482865
海南,2020,4934.344766
海南,2021,5486.991379
海南,2022,5497.965362
重庆,2015,15717.27
重庆,2016,17399.01789
重庆,2017,19017.12655
重庆,2018,20158.15415
重庆,2019,21428.11786
重庆,2020,22263.81446
重庆,2021,24111.71105
重庆,2022,24738.61554
四川,2015,30053.1
四川,2016,32397.2418
四川,2017,35021.41839
四川,2018,37823.13186
四川,2019,40659.86675
四川,2020,42204.94168
四川,2021,45665.7469
四川,2022,46990.05356
贵州,2015,10502.56
贵州,2016,11605.3288
贵州,2017,12789.07234
贵州,2018,13952.87792
贵州,2019,15110.96679
贵州,2020,15790.96029
贵州,2021,17070.02808
贵州,2022,17274.86841
云南,2015,13619.17
云南,2016,14804.03779
云南,2017,16210.42138
云南,2018,17653.14888
云南,2019,19083.05394
云南,2020,19846.3761
云南,2021,21295.16156
云南,2022,22210.8535
西藏,2015,1026.39
西藏,2016,1130.05539
