province,year,ntl,lntl
安徽,2014,1.231510145,0.802678551
安徽,2015,1.295405796,0.830909646
安徽,2016,1.317588311,0.840527124
安徽,2017,1.675678412,0.98420296
安徽,2018,1.740381571,1.00809717
安徽,2019,1.799428552,1.029415308
安徽,2020,1.906644108,1.066999188
安徽,2021,1.811408172,1.033685486
安徽,2022,1.916649995,1.070435696
北京,2014,3.967317464,1.602879949
北京,2015,4.126010819,1.634327739
北京,2016,4.406774083,1.687652627
北京,2017,4.666323939,1.734540572
北京,2018,4.553819805,1.714485944
北京,2019,5.421704253,1.859683542
北京,2020,5.594389963,1.886219282
北京,2021,5.644515228,1.893791737
北京,2022,5.88795787,1.929774651
重庆,2014,0.550766363,0.438749236
重庆,2015,0.538204825,0.430616038
重庆,2016,0.640432355,0.494959838
重庆,2017,0.872513862,0.627281839
重庆,2018,0.899811319,0.641754576
重庆,2019,0.962609858,0.674275148
重庆,2020,1.021607503,0.703892989
重庆,2021,0.809382413,0.592985578
重庆,2022,0.877658309,0.63002542
福建,2014,2.062923365,1.119369808
福建,2015,2.182554485,1.157684171
福建,2016,2.118483423,1.137346801
福建,2017,2.754187896,1.322871989
福建,2018,2.931348371,1.368982464
福建,2019,3.023513064,1.392155418
福建,2020,3.158942458,1.425260825
福建,2021,3.464129537,1.496074243
福建,2022,3.413842278,1.484745575
甘肃,2014,0.433763306,0.36030267
甘肃,2015,0.426811845,0.355442476
甘肃,2016,0.380701392,0.322591625
甘肃,2017,0.561715215,0.445784714
甘肃,2018,0.586822493,0.461733585
甘肃,2019,0.587249102,0.462002393
甘肃,2020,0.636833865,0.492763806
甘肃,2021,0.374770664,0.318286927
甘肃,2022,0.389065695,0.328631359
广东,2014,3.64942309,1.536743145
广东,2015,3.735420797,1.555070592
广东,2016,3.572993371,1.520167995
广东,2017,4.01937676,1.613305775
广东,2018,4.497093912,1.704219573
广东,2019,4.711664482,1.742510484
广东,2020,5.223384847,1.828313946
广东,2021,5.98483256,1.943741021
广东,2022,6.037976849,1.951320749
广西,2014,0.425304829,0.354385706
广西,2015,0.485446558,0.39571544
广西,2016,0.41184871,0.344899988
广西,2017,0.600282399,0.470180113
广西,2018,0.651256589,0.501536567
广西,2019,0.647357701,0.499172611
广西,2020,0.773342335,0.572866091
广西,2021,0.606911742,0.474314164
广西,2022,0.607862073,0.474905392
贵州,2014,0.528443157,0.424249673
贵州,2015,0.536454074,0.429477212
贵州,2016,0.604574259,0.472858462
贵州,2017,0.75378115,0.561774114
