year,province,Population,Capital,,Carbon,GDP_constant
2015,上海,2458,39515.12658,,62.66165987,25123.45
2015,云南,4663,34595.77366,,78.56604319,13619.17
2015,内蒙古,2440,49569.99536,,481.0345255,17831.51
2015,北京,2188,35954.11872,,18.63324401,23014.59
2015,吉林,2613,41474.69151,,144.8277051,14063.13
2015,四川,8196,49857.7805,,72.86622631,30053.1
2015,天津,1439,40567.07688,,68.94183083,16538.19
2015,宁夏,684,9475.331555,,112.0463989,2911.77
2015,安徽,6011,37656.29791,,210.6206966,22005.63
2015,山东,9866,119667.4973,,511.1574623,63002.33
2015,山西,3519,31644.80639,,273.1216636,12766.49
2015,广东,11678,108340.8132,,260.8545483,72812.55
2015,广西,4811,41940.23191,,83.03859517,16803.12
2015,新疆,2385,24582.97479,,233.7016273,9324.8
2015,江苏,8315,109499.7707,,382.6525488,70116.38
2015,江西,4485,26894.49297,,103.2553095,16723.78
2015,河北,7345,67580.75906,,305.2749432,29806.11
2015,河南,9701,92571.38708,,251.4205008,37002.16
2015,浙江,5985,71309.26018,,224.4441096,42886.49
2015,海南,945,7838.793832,,18.50584707,3702.76
2015,湖北,5850,52578.02477,,156.5767115,29550.19
2015,湖南,6615,47413.36564,,143.4174142,28902.21
2015,甘肃,2523,14315.16134,,94.49228668,6790.32
2015,福建,3984,51170.85001,,125.2238247,25979.82
2015,贵州,3708,19919.55644,,135.0867134,10502.56
2015,辽宁,4338,61290.32846,,216.5606448,28669.02
2015,重庆,3070,27071.29599,,62.8901337,15717.27
2015,陕西,3846,37685.9528,,153.1407673,18021.86
2015,青海,577,8377.732105,,25.15324246,2417.05
2015,黑龙江,3529,34031.89654,,166.1174574,15083.67
2016,上海,2467,43428.84068,,61.81090983,26856.96805
2016,云南,4677,40068.19804,,76.53142527,14804.03779
2016,内蒙古,2436,52854.41421,,484.8689767,19115.37872
2016,北京,2195,39788.7155,,13.54436493,24579.58212
2016,吉林,2567,44743.07657,,142.223606,15033.48597
2016,四川,8251,55070.5793,,52.26548195,32397.2418
2016,天津,1443,43838.125,,63.4604096,18043.16529
2016,宁夏,695,11082.27942,,102.6377437,3147.62337
2016,安徽,6033,42352.84347,,215.6541851,23920.11981
2016,山东,9973,130503.6369,,519.025061,67790.50708
2016,山西,3514,33922.6278,,275.9303098,13340.98205
2016,广东,11908,121169.5669,,258.4292142,78273.49125
2016,广西,4857,46458.30355,,88.99854059,18029.74776
2016,新疆,2428,27737.45246,,262.120602,10033.4848
2016,江苏,8381,119910.2273,,396.8949543,75585.45764
2016,江西,4496,30194.64066,,106.9992315,18228.9202
2016,河北,7375,74213.56087,,304.1347253,31832.92548
2016,河南,9778,103678.7814,,252.8170109,39999.33496
2016,浙江,6072,78783.76611,,227.013246,46145.86324
2016,海南,957,8702.385223,,17.52880712,3980.467
2016,湖北,5885,59333.81677,,158.2442906,31943.75539
2016,湖南,6625,52493.30211,,155.3241705,31214.3868
2016,甘肃,2520,16260.26169,,91.10134411,7306.38432
2016,福建,4016,57766.09769,,109.2501499,28162.12488
2016,贵州,3758,23586.83265,,132.6959688,11605.3288
2016,辽宁,4327,61342.04015,,215.7348436,27952.2945
2016,重庆,3110,30618.00949,,71.2037695,17399.01789
2016,陕西,3874,41684.81671,,153.8950233,19391.52136
2016,青海,582,9840.284128,,27.84178996,2610.414
2016,黑龙江,3463,36822.9623,,183.3778914,16003.77387
2017,上海,2466,47032.45662,,61.22925029,28710.09885
2017,云南,4693,45505.43159,,84.64879187,16210.42138
2017,内蒙古,2433,54076.29911,,519.2393073,19879.99387
2017,北京,2194,43357.86478,,7.802890222,26226.41412
2017,吉林,2526,47176.56473,,142.1821552,15830.26073
2017,四川,8289,60133.8487,,54.12605456,35021.41839
2017,天津,1410,46449.75063,,59.43318935,18692.71924
2017,宁夏,705,12417.96755,,142.0568837,3393.137993
2017,安徽,6057,46741.26574,,226.3267827,25953.32999
2017,山东,10033,139618.6834,,492.5079498,72807.0046
2017,山西,3510,34532.11449,,303.082103,14288.19178
2017,广东,12141,134951.9293,,274.2443642,84144.00309
2017,广西,4907,47877.64609,,91.71605259,19309.85985
2017,新疆,2480,31680.42162,,286.4749664,10796.02965
2017,江苏,8423,130284.5153,,387.1706579,81027.61059
2017,江西,4511,33236.21083,,115.4884194,19833.06518
2017,河北,7409,79548.95724,,284.9850258,33933.89856
2017,河南,9829,112652.8261,,275.639369,43119.28309
2017,浙江,6170,85428.16821,,233.4202197,49745.24057
2017,海南,972,9593.641853,,18.97951053,4259.09969
2017,湖北,5904,65973.70047,,165.4729101,34435.36831
2017,湖南,6633,56864.80851,,172.2001402,33711.53774
2017,甘肃,2522,16889.91009,,91.44035732,7569.414156
2017,福建,4065,64521.04947,,122.8153901,30443.257
2017,贵州,3803,27283.4691,,141.7313433,12789.07234
2017,辽宁,4312,61459.38548,,225.2897319,29126.29087
2017,重庆,3144,33985.93924,,67.66315437,19017.12655
2017,陕西,3904,45792.7593,,153.9859554,20942.84307
2017,青海,586,11237.15865,,25.39779256,2800.974222
2017,黑龙江,3399,39438.23701,,187.5927287,17028.0154
2018,上海,2475,50209.43664,,58.31747555,30604.96537
2018,云南,4703,50974.5074,,85.75829545,17653.14888
2018,内蒙古,2422,53004.32484,,589.5929917,20933.63354
2018,北京,2192,45825.34465,,3.752088238,27957.35745
2018,吉林,2484,49132.90294,,134.0673319,16542.62246
2018,四川,8321,65038.5768,,81.21496969,37823.13186
