GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,light_count,light_sum,light_mean
CHN.1.1_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Anqing,Ānqìng,安庆市,Dìjíshì,Prefecture City,NA,NA,83468,32904.8688221239,0.394221364141034
CHN.1.2_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Bengbu,Bèngbù,蚌埠市,Dìjíshì,Prefecture City,NA,NA,32844,33549.0949865133,1.02146799983295
CHN.1.3_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Bozhou,Bózhōu,亳州市,Dìjíshì,Prefecture City,NA,NA,47975,34679.6133736148,0.722868439262425
CHN.1.4_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Chaohu,Cháohú,巢湖市,Dìjíshì,Prefecture City,NA,NA,51581,35401.9155792072,0.686336356007197
CHN.1.5_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Chizhou,Chízhōu,池州市,Dìjíshì,Prefecture City,NA,NA,45718,15415.3519181125,0.337183427055262
CHN.1.6_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Chuzhou,Chúzhōu,滁州市,Dìjíshì,Prefecture City,NA,NA,75016,58686.0002748892,0.782313110201679
CHN.1.7_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Fuyang,Fùyáng,阜阳市,Dìjíshì,Prefecture City,NA,NA,56064,43304.7880534381,0.772417024354988
CHN.1.8_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Hefei,Héféi,合肥市,Dìjíshì,Prefecture City,NA,NA,41145,126150.033394665,3.06598695818847
CHN.1.9_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Huaibei,Huáiběi,淮北市,Dìjíshì,Prefecture City,NA,NA,15091,32334.9048597738,2.14266151081928
CHN.1.10_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Huainan,Huáinán,淮南市,Dìjíshì,Prefecture City,NA,NA,11773,22856.3651474714,1.94142233478905
CHN.1.11_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Huangshan,Huángshān,黄山市,Dìjíshì,Prefecture City,NA,NA,52382,11092.2943884167,0.211757748623892
CHN.1.12_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Lu'an,Lù'ān,六安市,Dìjíshì,Prefecture City,NA,NA,100873,39030.6204880755,0.386928320641555
CHN.1.13_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Ma'anshan,Mǎ'ānshān,马鞍山市,Dìjíshì,Prefecture City,NA,NA,9781,38781.8248387724,3.96501634176183
CHN.1.14_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Suzhou,Sùzhōu,宿州市,Dìjíshì,Prefecture City,NA,NA,56130,45020.1688329428,0.802069638926471
