province,上海,云南,内蒙古,北京,吉林,四川,天津,宁夏,安徽,山东,山西,广东,广西,新疆,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,贵州,辽宁,重庆,陕西,青海,黑龙江
上海,0.0,7.746959943426083e-05,0.0001022473391669124,0.0003780622434456617,6.945233796189432e-05,0.0001273338635076108,8.857793854533375e-05,3.665075409574537e-05,0.00045342402409312047,2.070151717744875e-05,6.558565326820718e-05,1.6560849326493068e-05,0.00010094881801624632,5.185105500435844e-05,1.733272808879686e-05,0.00011368865130795403,0.00016111475268381273,6.297489843219455e-05,4.214621989833821e-05,3.794107108129289e-05,0.0001589849131898594,0.00015604268440196436,4.409088403996437e-05,0.00035233742887659416,5.974970485507378e-05,0.002243787746171949,9.620621621578168e-05,0.00012330998845946597,3.574644235687283e-05,7.666332794551385e-05
云南,7.746959943426083e-05,0.0,0.0003196845432209262,9.743528707190374e-05,0.0006711075621302742,4.8165706080620543e-05,0.0006177428821001112,6.955902880677252e-05,9.343307384196492e-05,1.633615159702823e-05,0.00042754268795291614,1.3644116140282043e-05,0.0003330802712949302,0.00015679581142568374,1.416378202123223e-05,0.0002431707574169161,5.2314811271394594e-05,3.473713979592373e-05,2.7296145203953852e-05,7.43584368365155e-05,5.2088232126438846e-05,5.1768429723146054e-05,0.00010233177295559242,6.35062660283579e-05,0.00026121970877155396,7.488413046509856e-05,0.0003977802994120654,0.00020839211043661957,6.637231610854407e-05,0.007366101108779495
内蒙古,0.0001022473391669124,0.0003196845432209262,0.0,0.00014015144878728254,0.00021653656028645718,5.670999444999771e-05,0.0006625644222361456,5.71286154711424e-05,0.00013201730629588168,1.7215898634988342e-05,0.0001829146251682531,1.425240801539582e-05,0.007948848602821388,0.00010519887518080451,1.4820407516525027e-05,0.0010159990345875584,6.255097173131621e-05,3.897184720752904e-05,2.9844397966541527e-05,6.032652303877686e-05,6.22273252812012e-05,6.177145000069468e-05,7.751805994300161e-05,7.924938784595425e-05,0.00014375502157629,9.77910893725051e-05,0.0016283114412593076,0.000598600776073336,5.496134324495113e-05,0.000306387502189373
北京,0.0003780622434456617,9.743528707190374e-05,0.00014015144878728254,0.0,8.508251431936352e-05,9.525226934275122e-05,0.00011568148462408365,4.058523731523087e-05,0.002274661005990777,1.962681366683247e-05,7.935141380781975e-05,1.5865852669079614e-05,0.00013772315994170788,6.009274627776726e-05,1.657292211090524e-05,0.000162578214489019,0.00011297107496998688,5.3982826209752245e-05,3.791902314560426e-05,4.217345939393098e-05,0.00011191976758823883,0.00011045366605402351,4.991176059322613e-05,0.0001823734098722193,7.09651827186718e-05,0.0003235468972263256,0.0001290443858640358,0.00018299681342867993,3.947927659096008e-05,9.616328481141215e-05
吉林,6.945233796189432e-05,0.0006711075621302742,0.00021653656028645718,8.508251431936352e-05,0.0,4.494031825546852e-05,0.0003216602217001907,7.760236732479593e-05,8.201479353504994e-05,1.5947945488408623e-05,0.0011780316516813204,1.3372248379812023e-05,0.0002226004751521225,0.0002045974151163597,1.3871032699584502e-05,0.00017849459043528773,4.85316279209924e-05,3.302760102923944e-05,2.6229313033432796e-05,8.362393366660845e-05,4.8336573242904635e-05,4.8061057578818794e-05,0.00012074287967908698,5.8016244373070365e-05,0.00042769386918288434,6.73671124457632e-05,0.00024974871228931764,0.0001590148644332389,7.365696567146072e-05,0.0007383795253980885
四川,0.0001273338635076108,4.8165706080620543e-05,5.670999444999771e-05,9.525226934275122e-05,4.494031825546852e-05,0.0,5.223878930782721e-05,2.8459267629399494e-05,9.941532268028096e-05,2.4720492921650156e-05,4.328890493239196e-05,1.903673871563958e-05,5.6308270643789494e-05,3.684682402670831e-05,2.0063822289382585e-05,6.0062501708975256e-05,0.0006073068065288172,0.00012459549515711122,6.299788073152659e-05,2.9231190914791424e-05,0.0006396047979173591,0.0006921049788188566,3.27505957604902e-05,0.00019939455627568167,4.066717793134369e-05,0.00013499474992171196,5.4801399459830725e-05,6.264481301414555e-05,2.791098893164401e-05,4.785280457597076e-05
天津,8.857793854533375e-05,0.0006177428821001112,0.0006625644222361456,0.00011568148462408365,0.0003216602217001907,5.223878930782721e-05,0.0,6.251924263455434e-05,0.00011008303756581718,1.677989430136719e-05,0.00025266918423399315,1.3952280824170648e-05,0.0007228134603923622,0.00012505443209094065,1.4496153902761534e-05,0.00040103626145763783,5.7155107711488916e-05,3.6806877353623386e-05,2.8558036406726937e-05,6.636946617935026e-05,5.688476995421779e-05,5.650357334092782e-05,8.77891256304691e-05,7.078302419971342e-05,0.00018358758089791346,8.521395010717768e-05,0.0011171261293560397,0.0003144802741788094,5.993292643097562e-05,0.0005699455718293591
宁夏,3.665075409574537e-05,6.955902880677252e-05,5.71286154711424e-05,4.058523731523087e-05,7.760236732479593e-05,2.8459267629399494e-05,6.251924263455434e-05,0.0,3.98737961487908e-05,1.3229226997225199e-05,8.307489291096659e-05,1.1406677815469117e-05,5.7542172808564535e-05,0.00012502254251380514,1.1767628342671338e-05,5.4087338223770076e-05,2.9858478750762698e-05,2.3167502124973335e-05,1.9603427178246544e-05,0.0010776955445096325,2.9784532846704058e-05,2.9679692775446386e-05,0.00021719568890975736,3.319749295675001e-05,9.480394857555607e-05,3.606171046416789e-05,5.9205826761949666e-05,5.215144234495003e-05,0.0014487637529209873,7.022214544963021e-05
安徽,0.00045342402409312047,9.343307384196492e-05,0.00013201730629588168,0.002274661005990777,8.201479353504994e-05,9.941532268028096e-05,0.00011008303756581718,3.98737961487908e-05,0.0,1.979763671511431e-05,7.667655669137405e-05,1.597729494862708e-05,0.00012986053629652347,5.8546057188309574e-05,1.66945567580454e-05,0.00015173328978719422,0.00011887500392701715,5.529510349158678e-05,3.856185648415854e-05,4.140577369871831e-05,0.00011771150732787475,0.00011609083959079299,4.884008674359382e-05,0.00019826991506114358,6.881818368594644e-05,0.0003771996252930982,0.00012211655952581042,0.00016937089957670134,3.880575939242332e-05,9.226279442855386e-05
山东,2.070151717744875e-05,1.633615159702823e-05,1.7215898634988342e-05,1.962681366683247e-05,1.5947945488408623e-05,2.4720492921650156e-05,1.677989430136719e-05,1.3229226997225199e-05,1.979763671511431e-05,0.0,1.573492931467823e-05,8.279695912494145e-05,1.7178692412799708e-05,1.4794727100119596e-05,0.00010651119996528658,1.7512646903097135e-05,2.375359992379912e-05,3.0839168832651846e-05,4.068560457777202e-05,1.3393640322536519e-05,2.3800608071989285e-05,2.3867980288685882e-05,1.4087272213595934e-05,2.1993756040400902e-05,1.5374651996022885e-05,2.089429099245368e-05,1.703578180640424e-05,1.7725693742002667e-05,1.3109518866373638e-05,1.630000230925393e-05
