province,year,ind,urb,rd,open,es,eff,lntl_1,lntl
上海,2015,0.3181,0.8853,0.0373,1.1137,0.167006852,0.581050722,2.76662397,2.697869775
云南,2015,0.3977,0.4293,0.008,0.112,0.526132671,0.31662927,0.258400419,0.237293345
内蒙古,2015,0.5048,0.6209,0.0076,0.0445,0.525468789,0.328864121,0.165928573,0.205147298
北京,2015,0.1974,0.8671,0.0601,0.8645,0.091198021,1.006911906,1.634327739,1.602879948
吉林,2015,0.4982,0.5764,0.0101,0.0836,0.472497259,0.346286448,0.36482459,0.340725941
四川,2015,0.4408,0.4827,0.0167,0.1061,0.348171234,0.34716212,0.259454828,0.258992641
天津,2015,0.4658,0.8288,0.0308,0.4304,0.287060896,0.528779246,1.828517564,1.818201703
宁夏,2015,0.4738,0.5698,0.0088,0.08,0.520838903,0.593875268,0.523093121,0.546448368
安徽,2015,0.4975,0.5097,0.0196,0.1354,0.498547331,0.367250749,0.62841041,0.596419473
山东,2015,0.468,0.5697,0.0227,0.2379,0.421046548,0.454472011,0.854192431,0.851105845
山西,2015,0.4069,0.5587,0.0104,0.0716,0.599653159,0.287902969,0.522336339,0.548154859
广东,2015,0.4479,0.6951,0.0247,0.8746,0.225392399,1.013560194,0.984118132,0.970137336
广西,2015,0.4593,0.4799,0.0063,0.1894,0.440744463,0.327230842,0.335343214,0.292112474
新疆,2015,0.3857,0.4878,0.0056,0.1314,0.281911806,0.316164492,0.212122627,0.240521469
江苏,2015,0.457,0.6749,0.0257,0.4846,0.363231202,0.706167092,1.365094483,1.328046842
江西,2015,0.503,0.523,0.0104,0.1579,0.519209489,0.468578009,0.290592877,0.276059752
河北,2015,0.4827,0.5167,0.0118,0.1076,0.637128794,0.264184244,0.583471323,0.592485641
河南,2015,0.4842,0.4702,0.0118,0.1242,0.444740528,0.295498631,0.627911024,0.627673134
浙江,2015,0.4596,0.6632,0.0236,0.5036,0.215705747,0.49411132,1.073873055,1.037322997
海南,2015,0.2365,0.5491,0.0046,0.2349,0.083669164,1.047732338,0.604310726,0.572515541
湖北,2015,0.457,0.5718,0.019,0.096,0.47187068,0.365546766,0.413787765,0.388405599
湖南,2015,0.4432,0.5079,0.0143,0.0631,0.505183358,0.377520325,0.332724229,0.314278496
甘肃,2015,0.3674,0.4424,0.0122,0.0729,0.411761663,0.399162248,0.213108407,0.222430921
福建,2015,0.5029,0.6322,0.0151,0.4048,0.319726821,0.406054422,0.67810419,0.658596102
贵州,2015,0.3949,0.4296,0.0059,0.0725,0.612603845,0.366551371,0.329620718,0.32978786
辽宁,2015,0.4549,0.6805,0.0127,0.2084,0.401743008,0.335314042,0.643900758,0.636069616
重庆,2015,0.4498,0.6147,0.0157,0.2951,0.402290941,0.447366556,0.430616035,0.438749235
陕西,2015,0.504,0.5474,0.0218,0.1054,0.476405922,0.360169321,0.475703697,0.503445683
青海,2015,0.4995,0.5167,0.0048,0.0498,0.323608988,1.098537876,0.154518535,0.142472986
黑龙江,2015,0.3181,0.6047,0.0105,0.0868,0.413168103,0.335360121,0.257385004,0.30181524
上海,2016,0.2983,0.89,0.0382,1.0172,0.147596607,0.522613147,2.750706116,2.76662397
云南,2016,0.3848,0.4464,0.0089,0.0891,0.528513767,0.309156284,0.208971659,0.258400419
内蒙古,2016,0.4718,0.634,0.0079,0.0424,0.525149093,0.335247347,0.149732058,0.165928573
北京,2016,0.1926,0.8676,0.0596,0.7265,0.072752726,0.689349619,1.687652627,1.634327739
吉林,2016,0.4741,0.5875,0.0094,0.0824,0.460291495,0.358224002,0.328379003,0.36482459
四川,2016,0.4084,0.5,0.0172,0.099,0.301721479,0.348425751,0.267821003,0.259454828
天津,2016,0.4233,0.8327,0.03,0.3789,0.263520384,0.550621585,1.840185483,1.828517564
宁夏,2016,0.4697,0.5874,0.0095,0.0679,0.514195705,0.56851275,0.526970399,0.523093121
安徽,2016,0.4843,0.5262,0.0197,0.1203,0.478037717,0.364354877,0.631633313,0.62841041
山东,2016,0.4608,0.5913,0.0234,0.2275,0.363065762,0.483493429,0.86148878,0.854192431
山西,2016,0.3854,0.5727,0.0103,0.0843,0.601326813,0.285003135,0.483191042,0.522336339
广东,2016,0.4342,0.7015,0.0256,0.7804,0.323120696,1.077161563,0.952660724,0.984118132
广西,2016,0.4517,0.4924,0.0065,0.1721,0.446588925,0.320851337,0.286320749,0.335343214
新疆,2016,0.3779,0.5042,0.0059,0.1209,0.303429136,0.306056827,0.163619033,0.212122627
江苏,2016,0.4473,0.6893,0.0266,0.4344,0.34879057,0.695209746,1.379468372,1.365094483
江西,2016,0.4773,0.5399,0.0113,0.1426,0.498235561,0.424043331,0.26976534,0.290592877
河北,2016,0.4757,0.5387,0.012,0.096,0.61918797,0.26360469,0.577277178,0.583471323
河南,2016,0.4763,0.4878,0.0123,0.1165,0.401763133,0.313270583,0.628530224,0.627911024
浙江,2016,0.4486,0.6772,0.0243,0.47,0.185389336,0.526176426,1.102093971,1.073873055
海南,2016,0.2235,0.567,0.0054,0.1849,0.095146763,1.023567756,0.565635042,0.604310726
湖北,2016,0.4486,0.5857,0.0186,0.0796,0.47272682,0.363699596,0.382145719,0.413787765
湖南,2016,0.4228,0.527,0.015,0.0552,0.512916806,0.37463634,0.320556348,0.332724229
甘肃,2016,0.3494,0.4607,0.0122,0.0625,0.397060474,0.393747618,0.172491054,0.213108407
福建,2016,0.4892,0.6439,0.0159,0.3591,0.312261576,0.407064553,0.652953535,0.67810419
贵州,2016,0.3965,0.4556,0.0063,0.0319,0.58697613,0.354224836,0.355476009,0.329620718
辽宁,2016,0.3869,0.6887,0.0169,0.2567,0.37054886,0.331978211,0.615884087,0.643900758
重庆,2016,0.4452,0.6333,0.0172,0.2333,0.349493658,0.447845188,0.494959841,0.430616035
