GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,light_mean
CHN.1.1_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Anqing,Ānqìng,安庆市,Dìjíshì,Prefecture City,NA,NA,0.733169149417023
CHN.1.2_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Bengbu,Bèngbù,蚌埠市,Dìjíshì,Prefecture City,NA,NA,1.62681322209623
CHN.1.3_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Bozhou,Bózhōu,亳州市,Dìjíshì,Prefecture City,NA,NA,1.45123833502438
CHN.1.4_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Chaohu,Cháohú,巢湖市,Dìjíshì,Prefecture City,NA,NA,1.21524063611069
CHN.1.5_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Chizhou,Chízhōu,池州市,Dìjíshì,Prefecture City,NA,NA,0.507817666445227
CHN.1.6_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Chuzhou,Chúzhōu,滁州市,Dìjíshì,Prefecture City,NA,NA,1.37334321462189
CHN.1.7_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Fuyang,Fùyáng,阜阳市,Dìjíshì,Prefecture City,NA,NA,1.87333436294716
CHN.1.8_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Hefei,Héféi,合肥市,Dìjíshì,Prefecture City,NA,NA,4.43142550401032
CHN.1.9_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Huaibei,Huáiběi,淮北市,Dìjíshì,Prefecture City,NA,NA,2.35897196328401
CHN.1.10_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Huainan,Huáinán,淮南市,Dìjíshì,Prefecture City,NA,NA,2.21823902653319
CHN.1.11_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Huangshan,Huángshān,黄山市,Dìjíshì,Prefecture City,NA,NA,0.344595929476679
CHN.1.12_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Lu'an,Lù'ān,六安市,Dìjíshì,Prefecture City,NA,NA,0.822784493538136
CHN.1.13_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Ma'anshan,Mǎ'ānshān,马鞍山市,Dìjíshì,Prefecture City,NA,NA,3.8996421462699
CHN.1.14_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Suzhou,Sùzhōu,宿州市,Dìjíshì,Prefecture City,NA,NA,1.22916133102941
CHN.1.15_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Tongling,Tónglíng,铜陵市,Dìjíshì,Prefecture City,NA,NA,2.7919976984995
CHN.1.16_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Wuhu,Wúhú,芜湖市,Dìjíshì,Prefecture City,NA,NA,2.98803145870329
CHN.1.17_1,CHN,China,CHN.1_1,Anhui,安徽|安徽,Xuancheng,Xuānchéng,宣城市,Dìjíshì,Prefecture City,NA,NA,0.724479240854536
CHN.2.1_1,CHN,China,CHN.2_1,Beijing,北京|北京,Beijing,Běijīng,北京|北京,Zhíxiáshì,Municipality,NA,NA,5.42170425327664
CHN.3.1_1,CHN,China,CHN.3_1,Chongqing,重慶|重庆,Chongqing,Chóngqìng,重慶|重庆,Zhíxiáshì,Municipality,NA,NA,0.962609858177547
CHN.4.1_1,CHN,China,CHN.4_1,Fujian,福建,Fuzhou,Fúzhōu,福州市,Dìjíshì,Prefecture City,NA,NA,2.83871838889026
CHN.4.2_1,CHN,China,CHN.4_1,Fujian,福建,Longyan,Lóngyán,龙岩市,Dìjíshì,Prefecture City,NA,NA,0.567976238435281
CHN.4.3_1,CHN,China,CHN.4_1,Fujian,福建,Nanping,Nánpíng,南平市,Dìjíshì,Prefecture City,NA,NA,0.445213924323073
CHN.4.4_1,CHN,China,CHN.4_1,Fujian,福建,Ningde,Níngdé,宁德市,Dìjíshì,Prefecture City,NA,NA,0.830623146885514
CHN.4.5_1,CHN,China,CHN.4_1,Fujian,福建,Putian,Pútián,莆田市,Dìjíshì,Prefecture City,NA,NA,3.1511072035771
CHN.4.6_1,CHN,China,CHN.4_1,Fujian,福建,Quanzhou,Quánzhōu,泉州市,Dìjíshì,Prefecture City,NA,NA,3.34894502617903
CHN.4.7_1,CHN,China,CHN.4_1,Fujian,福建,Sanming,Sānmíng,三明市,Dìjíshì,Prefecture City,NA,NA,0.42744340890781
CHN.4.8_1,CHN,China,CHN.4_1,Fujian,福建,Xiamen,Xiàmén,厦门市,Dìjíshì,Prefecture City,NA,NA,13.6745379242679
CHN.4.9_1,CHN,China,CHN.4_1,Fujian,福建,Zhangzhou,Zhāngzhōu,漳州市,Dìjíshì,Prefecture City,NA,NA,1.92705231835495
CHN.5.1_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Baiyin,Báiyín,白银市,Dìjíshì,Prefecture City,NA,NA,0.402796460225379
CHN.5.2_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Dingxi,Dìngxī,定西市,Dìjíshì,Prefecture City,NA,NA,0.417824879821949
CHN.5.3_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Gannan Tibetan,Gānnán Zàngzú,甘南藏族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,0.273448026068636
CHN.5.4_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Jiayuguan,Jiāyùguān,嘉峪关市,Dìjíshì,Prefecture City,NA,NA,1.84499821392441
CHN.5.5_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Jinchang,Jīnchāng,金昌市,Dìjíshì,Prefecture City,NA,NA,0.482649999801046
CHN.5.6_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Jiuquan,Jiǔquán,酒泉市,Dìjíshì,Prefecture City,NA,NA,0.29591397731771
CHN.5.7_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Lanzhou,Lánzhōu,兰州市,Dìjíshì,Prefecture City,NA,NA,1.36710205125734
CHN.5.8_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Linxia Hui,Línxià Huizù,临夏回族自治州,Zìzhìzhou,Autonomous Prefecture,NA,NA,0.490909526565168
CHN.5.9_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Longnan,Lǒngnán,陇南市,Dìjíshì,Prefecture City,NA,NA,0.320311926481271
CHN.5.10_1,CHN,China,CHN.5_1,Gansu,甘肅|甘肃,Pingliang,Píngliáng,平凉市,Dìjíshì,Prefecture City,NA,NA,0.514932962835076
