variable,winsor_rate,lower_quantile,upper_quantile,lower_bound,upper_bound
eff,0.01,0.01,0.99,0.2766647290342941,1.0736302617536455
lntl,0.01,0.01,0.99,0.20549133381999998,2.86094120374
ind,0.01,0.01,0.99,0.182762,0.50361
urb,0.01,0.01,0.99,0.44396,0.892688
rd,0.01,0.01,0.99,0.004739,0.06389299999999998
open,0.01,0.01,0.99,0.011785,1.0315959999999997
es,0.01,0.01,0.99,0.011214746,0.6082058025199998
eff,0.05,0.05,0.95,0.29499036894437286,1.0082815633344249
lntl,0.05,0.05,0.95,0.31658046565000003,1.9666977237499992
ind,0.05,0.05,0.95,0.22349,0.4892
urb,0.05,0.05,0.95,0.482625,0.87103
rd,0.05,0.05,0.95,0.0056,0.04007999999999998
open,0.05,0.05,0.95,0.03608000000000001,0.8137699999999991
es,0.05,0.05,0.95,0.09114881200000001,0.5582417304499999
