weight_type,test_name,statistic,df,pvalue
adjacency_01,LM Error,2.979707833792646,1,.0843144910314242
adjacency_01,LM Lag,.9141195060116871,1,.3390237500832844
adjacency_01,Robust LM Error,2.292706857751353,1,.12998305754951
adjacency_01,Robust LM Lag,.2271185299704167,1,.6336686752390024
economic_geo_nested,LM Error,2.811787309509502,1,.0935740695799503
economic_geo_nested,LM Lag,1.004166321842088,1,.316304475676651
economic_geo_nested,Robust LM Error,2.025022509044682,1,.1547266308879465
economic_geo_nested,Robust LM Lag,.2174015213772762,1,.6410270014560221
economic_inv,LM Error,8.460944594265888,1,.003628533653364
economic_inv,LM Lag,2.79710891979453,1,.0944344462911403
economic_inv,Robust LM Error,6.364862823173408,1,.01164020937265
economic_inv,Robust LM Lag,.701027148701961,1,.4024387725071258
geographic_inv,LM Error,1.021701375434046,1,.3121157778091893
geographic_inv,LM Lag,.4414247427816211,1,.5064355931427102
geographic_inv,Robust LM Error,.6949375590458686,1,.4044899942545145
geographic_inv,Robust LM Lag,.1146609263934486,1,.7348988820499355
