province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
上海,2015,0.5810507223454309,2.766623969,0.3181,0.8853,0.0373,1.1137,0.167006852,0.5351818519938922,0.04586887035153866,0.9769569579402853
云南,2015,0.3166292696593911,0.269845248,0.3977,0.4293,0.008,0.112,0.526132671,0.30580115268917263,0.010828116970218436,0.2306270927182608
内蒙古,2015,0.3288641213692387,0.348894406,0.5048,0.6209,0.0076,0.0445,0.525468789,0.33594231568205074,-0.007078194312812049,-0.15075782618054182
北京,2015,1.006911905860517,1.634327739,0.1974,0.8671,0.0601,0.8645,0.091198021,0.874981291282797,0.13193061457771993,2.8099783336547306
吉林,2015,0.3462864479487486,0.390974519,0.4982,0.5764,0.0101,0.0836,0.472497259,0.35586432033566656,-0.009577872386917968,-0.20399824541023906
四川,2015,0.3471621196452197,0.426214779,0.4408,0.4827,0.0167,0.1061,0.348171234,0.4300645604270421,-0.08290244078182243,-1.7657316548524284
天津,2015,0.5287792456655326,1.828517564,0.4658,0.8288,0.0308,0.4304,0.287060896,0.6324565257511849,-0.10367728008565238,-2.2082130949319128
宁夏,2015,0.5938752681391075,0.618370441,0.4738,0.5698,0.0088,0.08,0.520838903,0.5358741389134605,0.058001129225647076,1.2353608521664572
安徽,2015,0.3672507491253231,0.830909646,0.4975,0.5097,0.0196,0.1354,0.498547331,0.35050827913930527,0.016742469986017777,0.35659636744025
山东,2015,0.4544720108972753,0.861147896,0.468,0.5697,0.0227,0.2379,0.421046548,0.5055960757300162,-0.051124064832740894,-1.0888868741207403
山西,2015,0.2879029689192467,0.588181298,0.4069,0.5587,0.0104,0.0716,0.599653159,0.29169304179442995,-0.003790072875183223,-0.08072442242708885
广东,2015,1.013560194078508,1.555070592,0.4479,0.6951,0.0247,0.8746,0.225392399,0.9888679706301851,0.024692223448322878,0.525917453819442
广西,2015,0.3272308420895854,0.39571544,0.4593,0.4799,0.0063,0.1894,0.440744463,0.32249575560165333,0.004735086487932066,0.10085218265417983
新疆,2015,0.3161644919188784,0.492849443,0.3857,0.4878,0.0056,0.1314,0.281911806,0.33276533112460116,-0.01660083920572277,-0.35357978614650326
江苏,2015,0.7061670924362443,1.458556478,0.457,0.6749,0.0257,0.4846,0.363231202,0.8150475910418147,-0.10888049860557036,-2.3190359797720905
江西,2015,0.4685780093095151,0.361258693,0.503,0.523,0.0104,0.1579,0.519209489,0.411376902508863,0.05720110680065212,1.2183212462503532
河北,2015,0.2641842442103717,0.71947317,0.4827,0.5167,0.0118,0.1076,0.637128794,0.2871452808803951,-0.022961036670023433,-0.48904506181170726
河南,2015,0.2954986309911539,0.728799133,0.4842,0.4702,0.0118,0.1242,0.444740528,0.3534482340974223,-0.05794960310626843,-1.2342634019686025
浙江,2015,0.4941113204184356,1.180630426,0.4596,0.6632,0.0236,0.5036,0.215705747,0.531917569267721,-0.037806248849285504,-0.8052319052957094
海南,2015,1.047732338208394,1.11650461,0.2365,0.5491,0.0046,0.2349,0.083669164,0.9232045102571145,0.12452782795127959,2.6523070448826154
湖北,2015,0.3655467657324379,0.519183754,0.457,0.5718,0.019,0.096,0.47187068,0.38384704208048204,-0.018300276348044178,-0.3897759455035727
湖南,2015,0.3775203252910065,0.377829651,0.4432,0.5079,0.0143,0.0631,0.505183358,0.42325813091757286,-0.045737805626566395,-0.9741654221117184
甘肃,2015,0.3991622478547839,0.355442476,0.3674,0.4424,0.0122,0.0729,0.411761663,0.4380845378297175,-0.03892228997493361,-0.8290023651891664
福建,2015,0.4060544219234719,1.157684171,0.5029,0.6322,0.0151,0.4048,0.319726821,0.41625646493054536,-0.01020204300707344,-0.2172923994983904
贵州,2015,0.3665513711238582,0.429477212,0.3949,0.4296,0.0059,0.0725,0.612603845,0.38669725339951233,-0.020145882275654108,-0.4290853407159593
辽宁,2015,0.3353140418269424,0.710515129,0.4549,0.6805,0.0127,0.2084,0.401743008,0.2639145060746539,0.07139953575228852,1.5207323117466864
重庆,2015,0.4473665557648749,0.430616038,0.4498,0.6147,0.0157,0.2951,0.402290941,0.4456095416449454,0.0017570141199295362,0.037422486241955565
陕西,2015,0.3601693210621884,0.545665072,0.504,0.5474,0.0218,0.1054,0.476405922,0.35465258631984076,0.005516734742347665,0.11750043875817132
青海,2015,1.098537876422243,0.245365364,0.4995,0.5167,0.0048,0.0498,0.323608988,1.0317012997552542,0.06683657666698892,1.4235462552117066
黑龙江,2015,0.3353601214442256,0.28203587,0.3181,0.6047,0.0105,0.0868,0.413168103,0.31974097958083647,0.01561914186338914,0.3326707024513097
上海,2016,0.5226131465532506,2.750706116,0.2983,0.89,0.0382,1.0172,0.147596607,0.5060158968368703,0.01659724971638036,0.35350333393476097
云南,2016,0.3091562842494926,0.221046923,0.3848,0.4464,0.0089,0.0891,0.528513767,0.2778843010459605,0.03127198320353208,0.6660591670371836
内蒙古,2016,0.3352473473187768,0.341399542,0.4718,0.634,0.0079,0.0424,0.525149093,0.32702287836751104,0.008224468951265764,0.17517222695311938
北京,2016,0.6893496188825686,1.687652627,0.1926,0.8676,0.0596,0.7265,0.072752726,0.8389754899097697,-0.14962587102720099,-3.1868680145726804
吉林,2016,0.3582240018648497,0.349187677,0.4741,0.5875,0.0094,0.0824,0.460291495,0.34109033647535775,0.01713366538949194,0.36492840327216186
四川,2016,0.3484257509732445,0.498504931,0.4084,0.5,0.0172,0.099,0.301721479,0.4323087819310191,-0.0838830309577746,-1.7866171571101097
天津,2016,0.5506215845362348,1.840185483,0.4233,0.8327,0.03,0.3789,0.263520384,0.6174292166850885,-0.0668076321488538,-1.4229297685145275
宁夏,2016,0.5685127500147715,0.635882737,0.4697,0.5874,0.0095,0.0679,0.514195705,0.5239752929109875,0.04453745710378402,0.9485993065239988
安徽,2016,0.3643548774218254,0.840527124,0.4843,0.5262,0.0197,0.1203,0.478037717,0.33522757878091647,0.029127298640908905,0.6203797227870039
山东,2016,0.4834934291071595,0.868744765,0.4608,0.5913,0.0234,0.2275,0.363065762,0.4919033653689999,-0.008409936261840431,-0.17912247857579294
