province,year,eff,lntl,ind,urb,rd,open,es,fitted,resid,std_resid
上海,2015,0.581050722,2.697869775,0.3181,0.8853,0.0373,1.1137,0.167006852,0.5235349187891691,0.057515803210830815,1.2191553797023624
云南,2015,0.31662927,0.237293345,0.3977,0.4293,0.008,0.112,0.526132671,0.2990897574580481,0.017539512541951883,0.37178288190628955
内蒙古,2015,0.328864121,0.205147298,0.5048,0.6209,0.0076,0.0445,0.525468789,0.3425222912925768,-0.013658170292576778,-0.2895105494406156
北京,2015,1.006911906,1.602879948,0.1974,0.8671,0.0601,0.8645,0.091198021,0.8709714727451621,0.13594043325483793,2.881512580363242
吉林,2015,0.346286448,0.340725941,0.4982,0.5764,0.0101,0.0836,0.472497259,0.352719959362761,-0.006433511362760977,-0.13637034606880538
四川,2015,0.34716212,0.258992641,0.4408,0.4827,0.0167,0.1061,0.348171234,0.4397629357624492,-0.09260081576244913,-1.9628480591288673
天津,2015,0.528779246,1.818201703,0.4658,0.8288,0.0308,0.4304,0.287060896,0.635247155871508,-0.106467909871508,-2.2567871409135143
宁夏,2015,0.593875268,0.546448368,0.4738,0.5698,0.0088,0.08,0.520838903,0.5369192756968968,0.056955992303103276,1.207289137006067
安徽,2015,0.367250749,0.596419473,0.4975,0.5097,0.0196,0.1354,0.498547331,0.3453806213425469,0.021870127657453102,0.46357839584756855
山东,2015,0.454472011,0.851105845,0.468,0.5697,0.0227,0.2379,0.421046548,0.5101786931411494,-0.05570668214114936,-1.1808076637441902
山西,2015,0.287902969,0.548154859,0.4069,0.5587,0.0104,0.0716,0.599653159,0.2955146103889511,-0.007611641388951118,-0.16134302278086635
广东,2015,1.013560194,0.970137336,0.4479,0.6951,0.0247,0.8746,0.225392399,0.9920448138531466,0.021515380146853537,0.45605885666286605
广西,2015,0.327230842,0.292112474,0.4593,0.4799,0.0063,0.1894,0.440744463,0.31569515654287034,0.011535685457129692,0.24452050042770893
新疆,2015,0.316164492,0.240521469,0.3857,0.4878,0.0056,0.1314,0.281911806,0.33531076752680605,-0.019146275526806054,-0.405841238523705
江苏,2015,0.706167092,1.328046842,0.457,0.6749,0.0257,0.4846,0.363231202,0.8111308428528538,-0.10496375085285367,-2.22490366790005
江西,2015,0.468578009,0.276059752,0.503,0.523,0.0104,0.1579,0.519209489,0.41240598111468973,0.05617202788531027,1.1906715400311265
河北,2015,0.264184244,0.592485641,0.4827,0.5167,0.0118,0.1076,0.637128794,0.2914013955721352,-0.02721715157213515,-0.5769186016182534
河南,2015,0.295498631,0.627673134,0.4842,0.4702,0.0118,0.1242,0.444740528,0.35777916583629205,-0.062280534836292034,-1.3201528077088118
浙江,2015,0.49411132,1.037322997,0.4596,0.6632,0.0236,0.5036,0.215705747,0.5335299603167731,-0.039418640316773106,-0.8355520521305461
海南,2015,1.047732338,0.572515541,0.2365,0.5491,0.0046,0.2349,0.083669164,0.9164465457406377,0.13128579225936238,2.782848729848701
湖北,2015,0.365546766,0.388405599,0.457,0.5718,0.019,0.096,0.47187068,0.38598212655491027,-0.020435360554910218,-0.43316581471272386
湖南,2015,0.377520325,0.314278496,0.4432,0.5079,0.0143,0.0631,0.505183358,0.4184108178121153,-0.040890492812115306,-0.8667507277579584
甘肃,2015,0.399162248,0.222430921,0.3674,0.4424,0.0122,0.0729,0.411761663,0.43668184497885587,-0.03751959697885588,-0.7952982649544724
