model,variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper,stars,data_file,variable_cn
滞后一期,lntl,0.18243705227478868,0.06983418730316453,2.612431809119393,0.009683103174560115,0.044718515653257046,0.32015558889632034,***,第二阶段_滞后一期.csv,夜间灯光强度
滞后一期,ind,0.12966131329331304,0.07373455347975161,1.7584878076046069,0.08021730687581807,-0.015749053689124798,0.2750716802757509,*,第二阶段_滞后一期.csv,ind
滞后一期,urb,-1.929192780694231,0.370906628726899,-5.20128957337861,4.941454507800813e-07,-2.6606499666960155,-1.1977355946924466,***,第二阶段_滞后一期.csv,urb
滞后一期,rd,7.1579270257668774,3.272988243033468,2.1869699779711933,0.029922382630944933,0.7033355338770395,13.612518517656715,**,第二阶段_滞后一期.csv,rd
滞后一期,open,0.4639857438606108,0.2209374016312778,2.100077852073938,0.03699486937629226,0.028279726326067622,0.899691761395154,**,第二阶段_滞后一期.csv,open
滞后一期,es,-0.11947163856429803,0.11215441603475113,-1.0652423933737898,0.288070106263306,-0.34064901097210215,0.1017057338435061,,第二阶段_滞后一期.csv,es
winsor_1pct,lntl,0.17104752199851586,0.062363397262946124,2.7427550374993053,0.006654361041223078,0.0480619737810602,0.2940330702159715,***,第二阶段_滞后一期.csv,夜间灯光强度
winsor_1pct,ind,0.16936310309518243,0.070618349599429,2.398287471398961,0.01740489428689851,0.030098136450108032,0.3086280697402568,**,第二阶段_滞后一期.csv,ind
winsor_1pct,urb,-1.6644725242598721,0.3334878946177567,-4.991103278779243,1.3167805925640153e-06,-2.322137009254485,-1.0068080392652596,***,第二阶段_滞后一期.csv,urb
winsor_1pct,rd,5.908431378113724,2.9449404238672052,2.00629911906841,0.04619193684272682,0.10077611247843343,11.716086643749014,**,第二阶段_滞后一期.csv,rd
winsor_1pct,open,0.41948069673991517,0.23505569737558257,1.7846012729044811,0.07586489077967107,-0.044067715824655684,0.883029109304486,*,第二阶段_滞后一期.csv,open
winsor_1pct,es,-0.13679302257826134,0.10469391946055126,-1.3065994976891189,0.19287206474053065,-0.34325770611050954,0.06967166095398689,,第二阶段_滞后一期.csv,es
winsor_5pct,lntl,0.12245689501790967,0.07027603498440013,1.742512864379623,0.08297924674620871,-0.01613300015191034,0.2610467901877297,*,第二阶段_滞后一期.csv,夜间灯光强度
winsor_5pct,ind,0.0877244789597087,0.11348118142761827,0.7730310687297701,0.44043052068319444,-0.13606937966211163,0.311518337581529,,第二阶段_滞后一期.csv,ind
winsor_5pct,urb,-1.4280117821035063,0.5225020486357819,-2.7330261878052924,0.006846586504567487,-2.4584271173244465,-0.3975964468825659,***,第二阶段_滞后一期.csv,urb
winsor_5pct,rd,4.999531325162819,3.3440287228364225,1.495062315410434,0.1364983249367866,-1.5951576074959908,11.594220257821629,,第二阶段_滞后一期.csv,rd
winsor_5pct,open,0.39748332568367295,0.27118910890298337,1.4657053422667898,0.14432284967636066,-0.13732303017297542,0.9322896815403213,,第二阶段_滞后一期.csv,open
winsor_5pct,es,-0.25792168796253406,0.12315167203184424,-2.0943417471087304,0.0375084900600684,-0.5007865183513004,-0.015056857573767707,**,第二阶段_滞后一期.csv,es
基准回归,lntl_1,0.187338980602337,0.07308038795019647,2.563464506099866,0.011109063901224792,0.043218679745355454,0.3314592814593186,**,第二阶段_滞后一期.csv,当期夜间灯光强度
基准回归,ind,0.0971540318145236,0.07137026862447014,1.3612675654300843,0.1749841360403126,-0.043593778574933614,0.2379018422039808,,第二阶段_滞后一期.csv,ind
基准回归,urb,-1.8450020525415776,0.3688791635735711,-5.001643450575655,1.2544776040179784e-06,-2.5724609170227675,-1.1175431880603877,***,第二阶段_滞后一期.csv,urb
基准回归,rd,6.323687697621086,3.1946320042998932,1.9794729687518198,0.04915546014566652,0.02362090130347383,12.623754493938698,**,第二阶段_滞后一期.csv,rd
基准回归,open,0.45497050568405445,0.22428152925178288,2.0285687689122875,0.04384826588780433,0.012669604182833638,0.8972714071852752,**,第二阶段_滞后一期.csv,open
基准回归,es,-0.12558517694759183,0.10718375267592202,-1.1716810972956682,0.2427402264100169,-0.33696000836147805,0.08578965446629438,,第二阶段_滞后一期.csv,es
