year,province,ntl
2015,上海,14.904848019999998
2016,上海,14.653681289999998
2017,上海,16.11398451
2018,上海,16.23350352
2019,上海,16.358748519999995
2020,上海,16.55462155
2021,上海,16.571194430000002
2022,上海,16.78163344000001
2015,云南,0.29485720000000004
2016,云南,0.23241007000000002
2017,云南,0.44898641000000006
2018,云南,0.4669793
2019,云南,0.44381154
2020,云南,0.51884781
2021,云南,0.3101559199999999
2022,云南,0.29863090000000003
2015,内蒙古,0.1804887799999999
2016,内蒙古,0.16152297999999998
2017,内蒙古,0.3456418299999999
2018,内蒙古,0.32939056
2019,内蒙古,0.35358055999999993
2020,内蒙古,0.41406677000000003
2021,内蒙古,0.09165121999999992
2022,内蒙古,0.09900142
2015,北京,4.12601082
2016,北京,4.40677408
2017,北京,4.666323940000001
2018,北京,4.5538198
2019,北京,5.421704250000001
2020,北京,5.594389959999999
2021,北京,5.644515229999999
2022,北京,5.88795787
2015,吉林,0.4402613500000001
2016,吉林,0.38871520000000004
2017,吉林,0.6338344599999999
2018,吉林,0.5989651299999998
2019,吉林,0.68520493
2020,吉林,0.76710725
2021,吉林,0.47517947000000005
2022,吉林,0.43520614999999996
2015,四川,0.29622323000000006
2016,四川,0.30711314999999995
2017,四川,0.4860117399999999
2018,四川,0.52195379
2019,四川,0.5558249
2020,四川,0.5939477099999999
2021,四川,0.36740640000000013
2022,四川,0.39448229
2015,天津,5.224652170000003
2016,天津,5.297706269999998
2017,天津,5.832119899999995
2018,天津,6.129108400000001
2019,天津,6.49635657
2020,天津,6.653246360000001
2021,天津,7.02585897
2022,天津,7.227159189999998
2015,宁夏,0.6872384199999999
2016,宁夏,0.69379301
2017,宁夏,0.94508871
2018,宁夏,0.9369554899999999
2019,宁夏,0.9393393400000001
2020,宁夏,1.0360225500000002
2021,宁夏,0.78048725
2022,宁夏,0.85162381
2015,安徽,0.87462832
2016,安徽,0.88067981
2017,安徽,1.2172313900000002
2018,安徽,1.2874836800000002
2019,安徽,1.36097307
2020,安徽,1.46527502
2021,安徽,1.31726453
2022,安徽,1.4203443499999997
2015,山东,1.34947625
2016,山东,1.36668154
2017,山东,1.7305098900000009
2018,山东,1.879550909999999
2019,山东,2.0422809800000006
2020,山东,2.22956668
2021,山东,2.1825111800000006
2022,山东,2.3019016300000006
2015,山西,0.68596203
2016,山西,0.6212396
2017,山西,0.8728398400000001
2018,山西,0.89137993
2019,山西,0.98670217
2020,山西,1.07787657
2021,山西,0.8582958299999999
2022,山西,0.90533749
2015,广东,1.6754514499999997
2016,广东,1.59259868
2017,广东,1.89443443
2018,广东,2.12482097
2019,广东,2.2229393700000006
2020,广东,2.4922488900000004
2021,广东,2.720919549999999
2022,广东,2.7512334300000005
2015,广西,0.39842025999999997
2016,广西,0.3315194699999999
2017,广西,0.51314584
2018,广西,0.56403234
2019,广西,0.56604089
2020,广西,0.6708280499999999
2021,广西,0.47486691000000003
2022,广西,0.4710746800000001
2015,新疆,0.23629948
2016,新疆,0.17776554
2017,新疆,0.3849038499999997
2018,新疆,0.3608948999999999
2019,新疆,0.38662726000000003
2020,新疆,0.4614497799999999
2021,新疆,0.10561576000000006
2022,新疆,0.10829372000000004
2015,江苏,2.9160930400000002
2016,江苏,2.9727890200000004
2017,江苏,3.5352685800000003
2018,江苏,3.71342044
2019,江苏,3.88906183
2020,江苏,4.16581018
2021,江苏,4.2085564999999985
2022,江苏,4.30998126
2015,江西,0.33722005999999993
2016,江西,0.30965708999999997
2017,江西,0.54789362
2018,江西,0.58455389
2019,江西,0.6086085799999998
2020,江西,0.69083001
2021,江西,0.54413577
2022,江西,0.56661535
2015,河北,0.7922491200000001
2016,河北,0.7811819799999999
2017,河北,1.0398731100000003
2018,河北,1.0509953899999998
2019,河北,1.1803310600000003
2020,河北,1.3118003900000001
2021,河北,1.13187026
2022,河北,1.2038916
2015,河南,0.87369239
2016,河南,0.87485294
2017,河南,1.1822920100000003
2018,河南,1.2539643199999997
2019,河南,1.3983727799999999
2020,河南,1.5156543200000003
2021,河南,1.3946183200000002
2022,河南,1.4622596100000003
2015,浙江,1.9266928200000004
2016,浙江,2.0104632500000004
2017,浙江,2.4849846999999996
2018,浙江,2.6249974900000006
2019,浙江,2.7335962
2020,浙江,2.83332662
2021,浙江,3.1790382499999996
2022,浙江,3.2873300200000006
2015,海南,0.82999041
2016,海南,0.76056546
2017,海南,1.08144719
2018,海南,1.1401267800000001
2019,海南,1.13916261
2020,海南,1.28474531
2021,海南,1.30651288
2022,海南,1.2017585899999998
2015,湖北,0.5125360799999998
2016,湖北,0.46542561000000005
2017,湖北,0.72075873
2018,湖北,0.7496767800000002
2019,湖北,0.8087183900000001
2020,湖北,0.8555356600000001
2021,湖北,0.7141041100000001
2022,湖北,0.80508037
2015,湖南,0.3947626099999999
2016,湖南,0.37789414
2017,湖南,0.6035177300000001
2018,湖南,0.62463789
2019,湖南,0.65606254
2020,湖南,0.66778837
2021,湖南,0.46435202
2022,湖南,0.49065884000000004
2015,甘肃,0.23751879999999992
2016,甘肃,0.18826118999999997
2017,甘肃,0.38291275999999996
2018,甘肃,0.38225872000000005
2019,甘肃,0.39676245999999993
2020,甘肃,0.4348991
2021,甘肃,0.16151380000000004
2022,甘肃,0.17000228000000006
2015,福建,0.9701391799999999
2016,福建,0.9212068100000002
2017,福建,1.25081469
2018,福建,1.3164954299999998
2019,福建,1.3754974400000002
2020,福建,1.4780487200000008
2021,福建,1.4831528500000002
2022,福建,1.4796035600000006
2015,贵州,0.3904406599999999
2016,贵州,0.4268596900000001
2017,贵州,0.62999436
2018,贵州,0.5998610900000001
2019,贵州,0.6824858200000001
2020,贵州,0.6396773499999999
2021,贵州,0.4298931100000001
2022,贵州,0.3824773800000001
2015,辽宁,0.90389304
2016,辽宁,0.85129258
2017,辽宁,1.0942236999999997
2018,辽宁,1.11740753
2019,辽宁,1.1885756299999999
2020,辽宁,1.22746981
2021,辽宁,0.99064756
2022,辽宁,0.94351373
2015,重庆,0.53820482
2016,重庆,0.6404323600000001
2017,重庆,0.87251386
2018,重庆,0.89981132
2019,重庆,0.9626098600000002
2020,重庆,1.0216075
2021,重庆,0.80938241
2022,重庆,0.8776583100000002
2015,陕西,0.6091461499999999
2016,陕西,0.5758503099999999
2017,陕西,0.80218794
2018,陕西,0.8350196599999999
2019,陕西,0.8583216299999998
2020,陕西,0.90571227
2021,陕西,0.6940004900000001
2022,陕西,0.74127134
2015,青海,0.16709591000000001
2016,青海,0.09715983000000006
2017,青海,0.30575021999999996
2018,青海,0.28887488000000006
2019,青海,0.29603132
2020,青海,0.3230464900000001
2021,青海,0.038466209999999945
2022,青海,0.037819110000000045
2015,黑龙江,0.29354305
2016,黑龙江,0.3020584799999999
2017,黑龙江,0.48397705
2018,黑龙江,0.46332098999999993
2019,黑龙江,0.48642845999999995
2020,黑龙江,0.55419715
2021,黑龙江,0.18797566
2022,黑龙江,0.17428803000000004
