province,capital,center_lon,center_lat,eff,cluster,node_color,node_size
上海,上海市,121.472644,31.231706,0.6389035056978963,NS,#D9D9D9,340.43821184518134
云南,昆明市,102.712251,25.040609,0.293755254690567,NS,#D9D9D9,92.34026953998884
内蒙古,呼和浩特市,111.670801,40.818311,0.3851624568931784,NS,#D9D9D9,158.0451911560076
北京,北京市,116.405285,39.904989,1.0,NS,#D9D9D9,600.0
吉林,长春市,125.3245,43.886841,0.4343727199038105,LL,#2166AC,193.41829519927825
四川,成都市,104.065735,30.659462,0.5871767058676729,NS,#D9D9D9,303.256181913242
天津,天津市,117.190182,39.125596,0.9999999999997664,HL,#EF8A62,599.9999999998321
宁夏,银川市,106.278179,38.46637,0.499909878182166,LH,#67A9CF,240.527426032001
安徽,合肥市,117.283042,31.86119,0.3786534280017262,NS,#D9D9D9,153.3663997390983
山东,济南市,117.000923,36.675807,0.6526545559417306,HH,#B2182B,350.3226810843378
山西,太原市,112.549248,37.857014,0.3339871557679442,NS,#D9D9D9,121.25958708887416
广东,广州市,113.280637,23.125178,0.9999999999996108,HH,#B2182B,599.9999999997202
广西,南宁市,108.320004,22.82402,0.3428163333775334,NS,#D9D9D9,127.6061375662215
新疆,乌鲁木齐市,87.617733,43.792818,0.2904995245901567,NS,#D9D9D9,90.0
江苏,南京市,118.767413,32.041544,0.9999999999997516,HH,#B2182B,599.9999999998215
江西,南昌市,115.892151,28.676493,0.4282572931132526,NS,#D9D9D9,189.02243110717473
河北,石家庄市,114.502461,38.045474,0.3461327660808853,NS,#D9D9D9,129.9900410833156
河南,郑州市,113.665412,34.757975,0.4231551247900952,NS,#D9D9D9,185.35491299408653
浙江,杭州市,120.153576,30.287459,0.5808955258420825,NS,#D9D9D9,298.741171812367
海南,海口市,110.33119,20.031971,0.906371301709008,NS,#D9D9D9,532.6982323714121
湖北,武汉市,114.298572,30.584355,0.4859713409492087,NS,#D9D9D9,230.50818822289042
湖南,长沙市,112.982279,28.19409,0.5651480342707433,NS,#D9D9D9,287.42162943046264
甘肃,兰州市,103.823557,36.058039,0.4125362718351546,NS,#D9D9D9,177.7219159846182
福建,福州市,119.306239,26.075302,0.5133121595376036,NS,#D9D9D9,250.16119475826554
贵州,贵阳市,106.713478,26.578343,0.3434866927962318,LL,#2166AC,128.08800236460473
辽宁,沈阳市,123.429096,41.796767,0.4084109900601219,NS,#D9D9D9,174.7565991480771
重庆,重庆市,106.504962,29.533155,0.4646372474099707,NS,#D9D9D9,215.17290927367435
陕西,西安市,108.948024,34.263161,0.3546504219339716,NS,#D9D9D9,136.1126648667101
青海,西宁市,101.778916,36.623178,0.9999999999993254,NS,#D9D9D9,599.9999999995151
黑龙江,哈尔滨市,126.642464,45.756967,0.3671306897275555,NS,#D9D9D9,145.08367587420955
