province,capital,center_lon,center_lat,eff,cluster,node_color,node_size
上海,上海市,121.472644,31.231706,0.6389035056978963,NS,#D9D9D9,272.32302908528436
云南,昆明市,102.712251,25.040609,0.293755254690567,NS,#D9D9D9,91.70375370540724
内蒙古,呼和浩特市,111.670801,40.818311,0.3851624568931784,NS,#D9D9D9,139.53798893085818
北京,北京市,116.405285,39.904989,1.265066650072873,NS,#D9D9D9,600.0
吉林,长春市,125.3245,43.886841,0.4343727199038105,LL,#2166AC,165.29017518790164
四川,成都市,104.065735,30.659462,0.5871767058676729,NS,#D9D9D9,245.2539158106628
天津,天津市,117.190182,39.125596,1.007444783973375,HL,#EF8A62,465.18409222385156
宁夏,银川市,106.278179,38.46637,0.499909878182166,LH,#67A9CF,199.58637690454168
安徽,合肥市,117.283042,31.86119,0.3786534280017262,NS,#D9D9D9,136.13175384674696
山东,济南市,117.000923,36.675807,0.6526545559417306,HH,#B2182B,279.51908099487633
山西,太原市,112.549248,37.857014,0.3339871557679442,NS,#D9D9D9,112.75748003472435
广东,广州市,113.280637,23.125178,1.016609139072248,HH,#B2182B,469.9798840972028
广西,南宁市,108.320004,22.82402,0.3428163333775334,NS,#D9D9D9,117.37787042462199
新疆,乌鲁木齐市,87.617733,43.792818,0.2904995245901567,NS,#D9D9D9,90.0
江苏,南京市,118.767413,32.041544,1.013758439169936,HH,#B2182B,468.48808644451765
江西,南昌市,115.892151,28.676493,0.4282572931132526,NS,#D9D9D9,162.08991572743636
河北,石家庄市,114.502461,38.045474,0.3461327660808853,NS,#D9D9D9,119.11339036417637
河南,郑州市,113.665412,34.757975,0.4231551247900952,NS,#D9D9D9,159.41990380442857
浙江,杭州市,120.153576,30.287459,0.5808955258420825,NS,#D9D9D9,241.96691614764376
海南,海口市,110.33119,20.031971,0.906371301709008,NS,#D9D9D9,412.2914031447951
湖北,武汉市,114.298572,30.584355,0.4859713409492087,NS,#D9D9D9,192.29221131765388
湖南,长沙市,112.982279,28.19409,0.5651480342707433,NS,#D9D9D9,233.72610800689614
甘肃,兰州市,103.823557,36.058039,0.4125362718351546,NS,#D9D9D9,153.86295973622265
福建,福州市,119.306239,26.075302,0.5133121595376036,NS,#D9D9D9,206.59991482568554
贵州,贵阳市,106.713478,26.578343,0.3434866927962318,LL,#2166AC,117.72867571509065
辽宁,沈阳市,123.429096,41.796767,0.4084109900601219,NS,#D9D9D9,151.70416158855824
重庆,重庆市,106.504962,29.533155,0.4646372474099707,NS,#D9D9D9,181.1278826423744
陕西,西安市,108.948024,34.263161,0.3546504219339716,NS,#D9D9D9,123.57075853460628
青海,西宁市,101.778916,36.623178,1.001248988942808,NS,#D9D9D9,461.94177531928324
黑龙江,哈尔滨市,126.642464,45.756967,0.3671306897275555,NS,#D9D9D9,130.10179822217543
