year,province,ntl
2015,上海,14.904848009347612
2016,上海,14.653681297468356
2017,上海,16.11398451190781
2018,上海,16.233503515989504
2019,上海,16.358748523960333
2020,上海,16.52305164515347
2021,上海,16.571194428130905
2022,上海,16.781633433201666
2015,云南,0.3097617467993916
2016,云南,0.24738196009457702
2017,云南,0.4654256216531303
2018,云南,0.48347602127253864
2019,云南,0.46106508057160145
2020,云南,0.5353494179835376
2021,云南,0.3286424411454347
2022,云南,0.3152506607439136
2015,内蒙古,0.41749950299656313
2016,内蒙古,0.40691525031444375
2017,内蒙古,0.6007222857880128
2018,内蒙古,0.5762897341426672
2019,内蒙古,0.6270199646540531
2020,内蒙古,0.7150090764593138
2021,内蒙古,0.40991311933678576
2022,内蒙古,0.44205389595508193
2015,北京,4.126010821295348
2016,北京,4.406774081876762
2017,北京,4.666323937832202
2018,北京,4.553819804034123
2019,北京,5.421704250158691
2020,北京,5.594389963219521
2021,北京,5.644515230610619
2022,北京,5.8879578722568695
2015,吉林,0.47842084129173057
2016,吉林,0.417915275457329
2017,吉林,0.671842000686
2018,吉林,0.6353635526621648
2019,吉林,0.7310188486256803
2020,吉林,0.8216193951021691
2021,吉林,0.5334779598189661
2022,吉林,0.48963595112445324
2015,四川,0.5314496630400534
2016,四川,0.646258160357424
2017,四川,0.7859752275404102
2018,四川,0.8889803648549546
2019,四川,0.9890154349548086
2020,四川,1.0375706370036655
2021,四川,0.8053567884813195
2022,四川,0.8659018763106758
2015,天津,5.224652166984707
2016,天津,5.297706270152497
2017,天津,5.832119899329896
2018,天津,6.129108396303155
2019,天津,6.49635657119129
2020,天津,6.653246363006305
2021,天津,7.02585897763918
2022,天津,7.227159192453419
2015,宁夏,0.8559012757421607
2016,宁夏,0.888688621146249
2017,宁夏,1.160125578066768
2018,宁夏,1.144567113231695
2019,宁夏,1.1339901966835333
2020,宁夏,1.2450257970071954
2021,宁夏,0.9941763800123646
2022,宁夏,1.0774256585172926
2015,安徽,1.2954057975807465
2016,安徽,1.3175883112764426
2017,安徽,1.6756784115812313
2018,安徽,1.7403815704702095
2019,安徽,1.7994285526135698
2020,安徽,1.906644107379468
2021,安徽,1.8114081701777547
2022,安徽,1.9166499959185206
2015,山东,1.3658749139366941
2016,山东,1.3839165991186668
2017,山东,1.7433848178958535
2018,山东,1.8960706675382237
2019,山东,2.0679445663274336
2020,山东,2.252308165386777
2021,山东,2.1834796241532266
2022,山东,2.3113012466123384
2015,山西,0.8007104797563789
2016,山西,0.7360884111097836
2017,山西,1.0107110485263266
2018,山西,1.0357845767641263
2019,山西,1.1602591017154467
2020,山西,1.2671451367946776
2021,山西,1.0788724616781966
2022,山西,1.1309719645002003
2015,广东,3.735420796185699
2016,广东,3.5729933706368318
2017,广东,4.01937676199875
2018,广东,4.497093912217959
2019,广东,4.7116644810495005
2020,广东,5.223384844788954
2021,广东,5.984832559620081
2022,广东,6.037976845726156
2015,广西,0.4854465587313648
2016,广西,0.41184871079322205
2017,广西,0.6002823989255015
2018,广西,0.6512565887410704
2019,广西,0.6473577010357439
2020,广西,0.7733423353539957
2021,广西,0.606911741555832
2022,广西,0.6078620736747653
2015,新疆,0.6369740449339749
2016,新疆,0.6042041068363646
2017,新疆,0.7772252540499345
2018,新疆,0.8093062997349936
2019,新疆,0.8796062830499356
2020,新疆,0.9393240644962466
2021,新疆,0.5503267404403591
2022,新疆,0.6503642431924477
2015,江苏,3.2997482651610204
2016,江苏,3.3862427104301265
2017,江苏,3.9898783265039324
2018,江苏,4.196018872902072
2019,江苏,4.370284109938868
2020,江苏,4.665223814522121
2021,江苏,4.763624717386228
2022,江苏,4.874794801406054
2015,江西,0.4351346721553502
2016,江西,0.42184837826010946
2017,江西,0.6753009587453984
2018,江西,0.7175905797070441
2019,江西,0.7656960989963044
2020,江西,0.8652904775402575
2021,江西,0.740661476687305
2022,江西,0.7837465684091591
2015,河北,1.0533511586492774
2016,河北,1.0500380890456937
2017,河北,1.3338275054190056
2018,河北,1.3492075840139406
2019,河北,1.5168206596858957
2020,河北,1.680330824816163
2021,河北,1.5368534782305718
2022,河北,1.6170864211837728
2015,河南,1.0725902074690183
2016,河南,1.088839613626296
2017,河南,1.4104643227824645
2018,河南,1.496690268115211
2019,河南,1.6928898805547674
2020,河南,1.8276396140637514
2021,河南,1.7348673369173233
2022,河南,1.8113176218016087
2015,浙江,2.2564264918410877
2016,浙江,2.332619142101511
2017,浙江,2.8654069477951416
2018,浙江,3.0682282489211765
2019,浙江,3.2445269178729186
2020,浙江,3.5842526934900043
2021,浙江,3.85665121987347
2022,浙江,4.042779186516417
2015,海南,2.054160046631192
2016,海南,2.03941014700105
2017,海南,2.360877010680216
2018,海南,2.4753891557053875
2019,海南,2.4820169979607263
2020,海南,2.4957229606921834
2021,海南,2.975752927926707
2022,海南,2.9140541271824785
2015,湖北,0.6806552615373009
2016,湖北,0.6445267650358548
2017,湖北,0.9193285647136062
2018,湖北,0.9913502594880752
2019,湖北,1.0748759172936295
2020,湖北,1.1419503446768147
2021,湖北,1.053592363549002
2022,湖北,1.1834207536125052
2015,湖南,0.45911436303110587
2016,湖南,0.4539115469847257
2017,湖南,0.6891444092115846
2018,湖南,0.7184049174966254
2019,湖南,0.750206722321797
2020,湖南,0.7631476284897074
2021,湖南,0.5622545432997912
2022,湖南,0.5965399925501862
2015,甘肃,0.42681184462565525
2016,甘肃,0.3807013918291855
2017,甘肃,0.5617152149181512
2018,甘肃,0.5868224935920521
2019,甘肃,0.5872491015081511
2020,甘肃,0.6368338653900525
2021,甘肃,0.3747706634646859
2022,甘肃,0.3890656946249138
2015,福建,2.1825544834360713
2016,福建,2.1184834221478344
2017,福建,2.754187895539279
2018,福建,2.9313483710651163
2019,福建,3.0235130659188183
2020,福建,3.1589424574690117
2021,福建,3.464129537878751
2022,福建,3.4138422780862623
2015,贵州,0.5364540737973038
2016,贵州,0.6045742586718543
2017,贵州,0.7537811496220688
2018,贵州,0.733580153444719
2019,贵州,0.8328514562942881
2020,贵州,0.7903614037328048
2021,贵州,0.5997746730746327
2022,贵州,0.5276807566168984
2015,辽宁,1.035039296443982
2016,辽宁,0.9865445611264354
2017,辽宁,1.246814312889236
2018,辽宁,1.2948236371455795
2019,辽宁,1.3605786106700144
2020,辽宁,1.3726617684914606
2021,辽宁,1.1156536962814085
2022,辽宁,1.0501810862394834
2015,重庆,0.5382048243552617
2016,重庆,0.6404323546897999
2017,重庆,0.8725138614025079
2018,重庆,0.8998113200415245
2019,重庆,0.962609858576204
2020,重庆,1.0216075040074482
2021,重庆,0.8093824116146482
2022,重庆,0.877658308731907
2015,陕西,0.7257557526221392
2016,陕西,0.7031924453077185
2017,陕西,0.9486956610528892
2018,陕西,1.0211871402860417
2019,陕西,1.0544975585541936
2020,陕西,1.0965448684550934
2021,陕西,0.9465668944353494
2022,陕西,1.009075427647835
2015,青海,0.2780881953241301
2016,青海,0.2278124315241108
2017,青海,0.4336950691269581
2018,青海,0.4317914278677717
2019,青海,0.44678442659000517
2020,青海,0.4814617273767283
2021,青海,0.23204263888868182
2022,青海,0.22862261044384025
2015,黑龙江,0.32582627652239937
2016,黑龙江,0.3281066837809137
2017,黑龙江,0.5128942180572547
2018,黑龙江,0.49744871448703587
2019,黑龙江,0.5136508437140272
2020,黑龙江,0.5847209546795304
2021,黑龙江,0.2204719436504825
2022,黑龙江,0.20315196294214233
