variable,test,statistic,pvalue,lags
eff,LLC,-1.7102107026424063,0.043613458649619345,0
eff,IPS,0.5176947488477893,0.6976643686984126,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
eff,ADF-Fisher,165.0090563727244,9.638179143678371e-12,None
eff,PP-Fisher,26.523971708612432,0.999946211432312,None
lntl,LLC,-6.399684364019236,7.784923815017342e-11,0
lntl,IPS,-8.622823941728162,3.2661423654135175e-18,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2, 1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
lntl,ADF-Fisher,150.6897833251747,9.369990339180845e-10,None
lntl,PP-Fisher,5.663457190348796,1.0,None
ind,LLC,-8.628611142335577,3.1050717778330004e-18,0
ind,IPS,-70.00237626832866,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0]"
ind,ADF-Fisher,205.10665847776008,0.0,None
ind,PP-Fisher,12.48820834990591,0.9999999999933087,None
urb,LLC,-17.79312282475861,3.995013949333692e-71,0
urb,IPS,-19.871668676331982,3.5791669152947275e-88,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0]"
urb,ADF-Fisher,384.5185147707297,0.0,None
urb,PP-Fisher,39.054506441874246,0.9834976084314164,None
rd,LLC,-1.4316166998035424,0.07612677383494587,0
rd,IPS,-0.17074114621220662,0.43221365392712335,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
rd,ADF-Fisher,84.51395949733872,0.020233745264723435,None
rd,PP-Fisher,3.800800039575987,1.0,None
open,LLC,-5.128708839073915,1.458680710253214e-07,0
open,IPS,-4.466612868398326,3.973387226947167e-06,"[0, 2, 0, 1, 0, 2, 0, 0, 0, 2, 0, 2, 1, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
open,ADF-Fisher,242.35419964136668,0.0,None
open,PP-Fisher,14.022618310739764,0.999999999896347,None
es,LLC,-5.028461640199131,2.472151975188326e-07,0
es,IPS,-71.571910686907,0.0,"[0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
es,ADF-Fisher,281.5092923451151,0.0,None
es,PP-Fisher,6.460658081528687,1.0,None
